 82         82        1 
 80         90        1 
 88         91        1 
108        115        1 
116        115        1 
117        129        1 
132        131        1 
 71         78        2 
 75         79        2 
 93         82        2 
 95         97        2 
 88        100        2 
111        107        2 
 63         68        3 
 77         73        3 
 86         81        3 
 83         85        3 
 93         87        3 
 97         87        3 
 87         93        3 
 94         94        3 
 96         95        3 
112         97        3 
113         97        3 
106        103        3 
107        106        3 
 98        111        3 
