450    4600.6    128.1    48000 
387    9255.4    783.9    55900 
368    1526.2    136.0    13783 
277    1683.2    179.0    27765 
676    2752.8    231.5    34000 
454    2205.8    329.5    26500 
507    2384.6    381.8    30800 
496    2746.0    237.9    41000 
487    1434.0    222.3    25900 
383     470.6     63.7     8600 
311    1508.0    149.5    21075 
271     464.4     30.0     6874 
524    9329.3    577.3    39000 
498    2377.5    250.7    34300 
343    1174.3     82.6    19405 
354     409.3     61.5     3586 
324     724.7     90.8     3905 
225     578.9     63.3     4139 
254     966.8     42.8     6255 
208     591.0     48.5    10605 
518    4933.1    310.6    65392 
406    7613.2    491.6    89400 
332    3457.4    228.0    55200 
340     545.3     54.6     7800 
698   22862.8   3011.3   337119 
306    2361.0    203.0    52000 
613    2614.1    201.0    50500 
302    1013.2    121.3    18625 
540    4560.3    194.6    97937 
293     855.7     63.4    12300 
528    4211.6    352.1    71800 
456    5440.4    655.2    87700 
417    1229.9     97.5    14600
