9 12 9 20 96 13 14 12 29 104 9 12 9 25 100
14 18 11 39 121 16 17 11 34 113 7 9 5 16 94
5 14 13 30 104 5 11 11 42 115 16 19 12 39 121
10 16 11 49 120 18 15 10 43 120 10 12 11 19 95
18 16 8 18 100 14 20 12 37 119 17 20 10 32 114
18 13 12 37 112 14 12 12 36 110 7 10 10 15 92
10 15 12 32 108 18 20 15 51 122 12 17 12 32 110
8 10 11 34 106 11 12 11 32 105 17 17 11 27 105
9 9 7 16 93 10 15 7 23 102 8 10 13 17 91
13 11 8 10 93 18 17 10 42 122 13 12 14 28 100
9 17 13 32 110 1 5 9 15 87 7 15 11 14 96
12 16 11 39 119 8 12 9 26 100 10 14 11 21 98
10 17 13 31 108 10 18 8 31 111 13 10 8 34 107
11 14 11 35 111 10 12 7 15 95 12 15 12 37 114
14 16 12 39 118 9 17 11 44 121 7 15 11 27 103
8 13 14 47 116 15 19 12 41 122 13 15 6 23 103
