4.58  4.99 69  8 55 12 10 1.20 0.00  4.6 8 1 
2.86 16.11 73  8 60 12 10 1.43 0.00  4.4 4 1 
3.02  9.75 49 10 60 12 10 1.54 0.00  4.7 4 1 
2.29 10.65 61 13 65 12 10 0.94 0.00  3.8 6 1 
1.61 20.01 28 12 70 12 10 0.65 0.00  2.2 4 1 
6.87  5.97 30  6 55 12 10 0.34 1.84 24.8 4 2 
3.85  8.57 46  8 55 12  8 0.47 0.70 11.0 4 2 
6.12  5.24 25  9 55 12 10 0.38 0.38 18.5 4 2 
3.29 15.79 43 12 50 12  4 0.95 1.39  7.5 4 2 
5.88  8.26 23  7 50 12  5 0.12 1.21  8.2 4 2 
4.20  7.03 23  6 60 12 10 0.29 1.85  5.4 4 2 
4.61 13.28 20  9 50 12  2 0.15 1.21 11.2 4 2 
4.80  5.40 18 14 50 12  8 0.00 0.56 15.2 2 2 
3.85  2.96 21  8 60 12 10 0.34 0.00  5.4 4 2 
2.69 11.75 27  7 55 12 10 0.26 0.60  7.9 4 2 
1.99  8.86 22  9 60 12 10 0.68 0.00  3.2 4 2 
2.01  9.78 19  9 60 12 10 0.20 0.10 11.0 4 2 
4.22  5.49  9 11 50 12  6 0.18 0.18  8.9 2 2 
2.76  8.63 12  8 55 13  6 0.14 0.00 12.4 2 2 
2.55 20.31 12  7 60 12 10 0.05 0.99  7.8 4 2 
1.89 40.09 15 13 55 12  8 0.05 0.12  9.6 4 2 
2.34 11.81  8  8 60 12 10 0.00 0.00  4.3 2 2 
2.83 11.39  5  9 50 12  8 0.00 0.09 11.1 2 2 
1.81 22.00  5 15 60 12  7 0.00 0.00  6.8 2 2 
9.23  3.58 23  6 40 12  2 0.56 2.51 53.0 4 3 
8.60  3.23 13  6 45 12  2 0.31 0.93 17.3 2 3 
8.21  7.73  7  8 55 12  8 0.13 0.52 27.3 2 3 
2.93 14.41 10 10 55 12  6 0.00 0.07 18.0 2 3 
7.48 11.54 12  7 45 12  3 0.09 0.09 30.2 2 3 
2.57 11.10  9  8 60 12  7 0.00 0.00 10.3 2 3 
5.77 22.09  4  8 45 11  3 0.00 0.14 18.2 2 3 
2.90  9.39  5 10 55 13  1 0.00 0.00 12.3 2 3 
2.97 19.49  4 13 55 12  4 0.00 0.00  7.1 2 3 
1.84 21.01  5 12 55 10  8 0.00 0.10 14.0 2 3 
3.78 27.16  2 10 55 12  3 0.04 0.04 11.3 2 3 
2.76 14.03  3  8 50 12  4 0.07 0.00 16.3 2 3 
4.27 20.63  1 11 55 11  4 0.00 0.00  9.6 2 3 
3.05 20.06  3 11 60 12  8 0.00 0.00  9.0 2 0 
4.12 12.91  1 10 55 12  3 0.00 0.00 10.4 2 0 
