1  -0.640  -1.647
2   0.710  -0.861
3  -0.197  -1.152
4  -0.324  -1.631
5   0.606  -1.222
6   0.089  -1.460
7   0.949  -0.906
8   0.660  -0.785
9   0.856  -0.571
10  0.819  -0.505
11  2.032   0.677
12  1.882   1.501
13  1.468   1.739
14  2.258   2.653
15  1.165   2.293
16  0.895   1.609
17  1.335   1.343
18  2.163   1.842
19  2.552   2.590
20  1.381   2.002
21  2.551   2.553
22  2.826   3.234
23  2.509   3.439
24  2.738   3.763
25  2.467   3.694
26  2.187   3.262
27  2.114   2.710
28  2.708   2.717
29  2.892   2.817
30  2.100   2.025
